path,mean_r,mean_g,mean_b,var_r,var_g,var_b,entropy_r,entropy_g,entropy_b,centroid_x,centroid_y,orientation,eccentricity,edge_density
../../photos/SORTED_STARS_CROPPED/0059/2923.jpg,46.8969,74.3839,61.2026,2607.7758703899995,5921.330720790001,4244.49435324,5.4524589452003305,5.826175381577833,5.196361148918632,52.67517227727672,51.22775086911876,0.5921274169930149,0.6743416196247728,0.8608
../../photos/SORTED_STARS_CROPPED/0059/2927.jpg,89.601,83.4031,81.6414,8272.758799,7227.55641039,6898.400806040001,6.288329699242247,5.989667099935036,5.896140869261831,53.698354375906824,49.80219941728258,0.11778744059653559,0.4125242862946264,0.8657
../../photos/SORTED_STARS_CROPPED/0059/2933.jpg,49.8487,69.9883,53.9703,3721.579208309999,6269.68356311,4024.1322179099993,5.390579623065614,5.786221777523924,5.124469571242557,46.90553643185552,45.928776152933814,1.3370062087693546,0.4602942501285244,0.8515
../../photos/SORTED_STARS_CROPPED/0059/2932.jpg,44.7168,50.7547,44.2659,2314.65759776,2832.18512791,2244.23079719,5.231081812431296,5.470596072309317,4.987657158275891,44.30036173416687,43.33292610584043,0.8541337165611721,0.435392401196964,0.8196
../../photos/SORTED_STARS_CROPPED/0059/2926.jpg,80.211,76.1101,74.9962,8863.459879,8027.29357799,7768.0915855600015,5.629921028853198,5.371348257941822,5.320588610252482,48.768668054258555,45.78947675179159,0.7262641257873065,0.5122012461448049,0.7748
../../photos/SORTED_STARS_CROPPED/0059/2930.jpg,96.764,90.6434,89.6425,9431.202904,8368.05843644,8154.61469375,6.118123863256116,5.84601553983523,5.7993166157843685,54.36857907906661,49.656878848546334,-1.1458970671988085,0.5207869946185522,0.8374
../../photos/SORTED_STARS_CROPPED/0059/2924.jpg,91.0793,87.7578,87.7281,9763.93741151,9093.748339160002,9004.14657039,5.748831927365753,5.581193671516594,5.648007550051929,45.712755300388196,49.92785612467392,-0.9822866317495176,0.3628121130816099,0.8096
../../photos/SORTED_STARS_CROPPED/0059/2918.jpg,41.7925,77.0,60.718,2196.06544375,6344.6252,4256.096276,5.384015313869939,5.923530396627271,5.1619196340734534,51.45896106187295,50.02004088650359,0.5544018198873701,0.6232789137352813,0.8535
../../photos/SORTED_STARS_CROPPED/0059/2919.jpg,47.7685,73.0891,62.2159,2806.37610775,5904.3349611899985,4483.10268719,5.339983231046624,5.708991552504138,5.201694289945562,51.3468775913759,48.73023553224625,0.44075765049735244,0.6969088964611851,0.7992
../../photos/SORTED_STARS_CROPPED/0059/2925.jpg,78.0052,75.0447,74.4156,9235.51777296,8602.59590191,8452.148876640002,5.344046437181337,5.143300611616599,5.004166884928269,48.24722548807685,45.15676058268705,1.1485405525277794,0.4563595132382591,0.7288
../../photos/SORTED_STARS_CROPPED/0059/2931.jpg,87.8447,84.7842,85.1425,9995.56678191,9332.43543036,9320.12459375,5.3983831397146265,5.352253702914253,5.398084491165758,54.257781733514996,50.076746486496575,-0.9489721579384746,0.5741847490598793,0.7553
../../photos/SORTED_STARS_CROPPED/0059/2942.jpg,97.7908,104.1627,104.1874,8192.161435360002,9166.455828709999,9097.580481240002,5.839934006868429,5.996275692518523,5.987364704134288,54.85420497492195,49.620567327329205,-0.6607811262903115,0.5168956551428904,0.8156
../../photos/SORTED_STARS_CROPPED/0059/2943.jpg,100.0733,105.959,105.867,8287.39492711,9170.253319,9075.248711,5.956681311982977,6.088760967029531,6.097995402099483,51.83299606801112,50.27104324419801,-1.1221045686312716,0.4373061904808898,0.8333
../../photos/SORTED_STARS_CROPPED/0059/2941.jpg,100.624,106.5503,106.6766,8354.918023999999,9253.850269909999,9246.28081244,5.775632889017164,5.894384230528429,5.8738019678830184,47.27306348429189,48.598649895826476,-0.15339682857245934,0.5324092591704124,0.7868
../../photos/SORTED_STARS_CROPPED/0059/2940.jpg,58.5993,73.2448,60.3746,4346.78433951,6181.374072959999,4470.183074840001,5.491568263069512,5.952362369028776,5.307389427968131,47.627433873856226,46.051791084858976,0.6996952651391094,0.46533116355329246,0.8611
../../photos/SORTED_STARS_CROPPED/0059/2944.jpg,95.8464,101.6442,101.4207,7916.67320704,8766.616206359999,8634.10531151,5.921007352116915,6.048629613759676,6.0760776502765665,53.293528084217606,51.206557022506225,-1.5526242414987972,0.398797909175675,0.8246
../../photos/SORTED_STARS_CROPPED/0059/2950.jpg,30.0045,78.3692,58.3025,1258.6824797499999,6118.756491360001,3646.39079375,5.1787954949715225,5.871147819935977,5.125919804604447,51.16452504312184,48.37887670641611,0.6802432176714065,0.5414710512726209,0.8385
../../photos/SORTED_STARS_CROPPED/0059/2945.jpg,96.2942,102.5804,101.6014,7231.592846360001,8016.38793584,7857.490918040002,6.159035001906515,6.333415177791953,6.2097317092648305,46.36100803035546,44.31507610740551,0.6483887685656764,0.4766522570738929,0.8525
../../photos/SORTED_STARS_CROPPED/0059/2947.jpg,87.0947,91.8007,90.8578,6695.14093191,7230.084379509999,7019.6187791600005,6.035808858620545,6.174101644628365,6.206456062213204,49.674467472335145,47.503536892010146,0.9021787742029209,0.3941219723215551,0.808
../../photos/SORTED_STARS_CROPPED/0059/2946.jpg,95.0343,101.72,101.4716,7637.900323510002,8612.2828,8513.353793440001,5.833148501039903,5.995964203830596,5.962311388179291,44.82150836671693,46.43919670688751,0.8963442664157656,0.4315778368358521,0.7895
../../photos/SORTED_STARS_CROPPED/0059/2948.jpg,94.4002,99.7681,99.1053,7158.41603996,7818.27512239,7617.556811910001,6.120556330315366,6.200507383142254,6.225068988145907,45.44389272543188,46.46945623503094,1.0615960658368662,0.4100763509992947,0.8223
../../photos/SORTED_STARS_CROPPED/0059/2949.jpg,22.56,40.72,32.3318,567.1398,1574.5858,1073.51370876,4.813933361411002,5.30508582668684,4.711090336050375,51.19968092508435,48.07734655436938,0.6129997566063855,0.5557105735344865,0.8049
../../photos/SORTED_STARS_CROPPED/0059/2928.jpg,78.5021,72.9033,71.7655,7846.733395590001,6800.002949110001,6524.2567097500005,5.8828652341339485,5.654668406709133,5.575903406377314,46.40084274266126,49.8701364990584,-1.0507829545296696,0.5302664801920352,0.8052
../../photos/SORTED_STARS_CROPPED/0059/2914.jpg,75.1547,74.9264,80.1853,8286.59736791,8132.987583039999,9023.271363910002,5.214130475155945,5.348615459875639,5.555696286197223,49.23420057628042,46.81818590732416,1.1870327715076432,0.5772306060313033,0.7747
../../photos/SORTED_STARS_CROPPED/0059/2901.jpg,48.7871,47.9228,45.2225,2950.36397359,2834.5814401600005,2579.62199375,5.167280370351594,5.096484921209478,4.811993781078375,48.57820488187924,50.59000025060982,0.18939749072425088,0.3452339009050774,0.7378
../../photos/SORTED_STARS_CROPPED/0059/2915.jpg,85.6707,84.8031,90.0746,8799.004261509997,8509.99933039,9353.060434839997,5.463908920937805,5.712879217458832,5.8390119974478125,48.753271041129665,48.2189648007023,0.1684490682468527,0.5126740468577475,0.8078
../../photos/SORTED_STARS_CROPPED/0059/2929.jpg,99.4287,93.2948,92.0721,8539.248116310002,7499.14589296,7279.46670159,6.350566464856696,6.163308758956401,6.087276321627121,44.460841648772686,48.09208559639594,0.29410667722179357,0.48342552218996987,0.8605
../../photos/SORTED_STARS_CROPPED/0059/2903.jpg,46.9522,67.699,50.9227,2670.8215151599998,4987.777599,3018.2587247100005,5.141900200481601,5.675324565795587,4.996725527072745,50.653921356366865,48.89802241254592,0.45308895220566353,0.3321554946078289,0.8107
../../photos/SORTED_STARS_CROPPED/0059/2917.jpg,29.9495,38.8869,34.6718,1245.3715497500002,1886.18070839,1584.1870847600003,4.848256863039532,5.290700070575404,4.757415018015675,51.10242067432071,48.39507474583619,-0.14052084944179824,0.52801558023574,0.7952
../../photos/SORTED_STARS_CROPPED/0059/2916.jpg,28.8196,42.6388,36.1027,925.9354558399999,1825.0577345599997,1390.53395271,4.961448012127198,5.458717345105222,4.918357332094376,51.997013834839656,49.97746874851089,0.09517012269754432,0.5525863711561054,0.8433
../../photos/SORTED_STARS_CROPPED/0059/2902.jpg,47.4241,82.9347,59.5162,1987.5072391900003,5266.21163591,2922.4983375599995,5.554941297563898,5.972466401169246,5.325108438861379,49.53404528457946,50.95941820458475,-0.9871441675376958,0.20521808706694455,0.8955
../../photos/SORTED_STARS_CROPPED/0059/2906.jpg,43.1321,64.5835,49.1034,2578.2132495899996,5329.64782775,3275.382308440001,5.003654349667537,5.461917623627882,4.888934574713545,52.37842696788584,48.16187043344284,-0.16706233789046646,0.16991660773149786,0.8227
../../photos/SORTED_STARS_CROPPED/0059/2912.jpg,70.4045,69.7565,73.7645,7495.591679750001,7250.60900775,7811.758639749999,5.335883266097266,5.281790642207701,5.607912200869443,50.30523627075351,51.382653068472564,1.1385821802173368,0.5467521902818769,0.7756
../../photos/SORTED_STARS_CROPPED/0059/2913.jpg,80.5897,82.1581,86.9372,8551.678953910001,8734.565704390001,9551.64365616,5.3987501044322705,5.5052735491474785,5.637427711761286,52.032653443455146,50.0718998444495,0.6119598475573916,0.5987248502644881,0.7865
../../photos/SORTED_STARS_CROPPED/0059/2907.jpg,45.2707,67.1785,51.2838,2642.41082151,5357.04863775,3331.11085756,5.060488244224776,5.634362622945764,4.963024311724996,52.04889876605346,47.76491592602102,-0.41011024132200014,0.2501234523464498,0.8623
../../photos/SORTED_STARS_CROPPED/0059/2911.jpg,67.2904,65.5974,69.4387,7252.603067839999,6817.400113240001,7408.64784231,5.114547380916257,5.105219232105783,5.3773335886570655,48.7011905781842,52.3345312765385,-1.3953610330268638,0.5060873401362539,0.7289
../../photos/SORTED_STARS_CROPPED/0059/2905.jpg,43.2468,67.0089,50.6775,2511.0540897600004,5442.654020789999,3330.3480937499994,5.150042084840891,5.642260041150192,4.966259056864969,51.72448485537699,49.102799760842636,0.8104530213700704,0.26132635976349133,0.8712
../../photos/SORTED_STARS_CROPPED/0059/2939.jpg,42.6165,43.7707,40.1497,2318.02582775,2331.48772151,2026.3964899100001,5.1910434820321,5.445624724804956,5.037962849088464,46.62159662166402,46.7115608535086,0.36381643093045585,0.329951538251596,0.806
../../photos/SORTED_STARS_CROPPED/0059/2938.jpg,50.0367,83.2561,60.861,3304.74555311,7208.0181127900005,4238.5090789999995,5.656666817783243,6.235130269503079,5.5042043124146565,45.89066628609862,49.095883365314236,0.4528265651166961,0.377983919503972,0.9045
